START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/30/17,,,Orioles at Yankees - Time TBD,Yankee Stadium - Bronx,"",04/30/17,04/30/17,,,FALSE,TRUE,04/30/17,,,FREE,BUSY
05/01/17,,,Blue Jays at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/01/17,05/01/17,,,FALSE,TRUE,05/01/17,,,FREE,BUSY
05/02/17,,,Blue Jays at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/02/17,05/02/17,,,FALSE,TRUE,05/02/17,,,FREE,BUSY
05/03/17,,,Blue Jays at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/03/17,05/03/17,,,FALSE,TRUE,05/03/17,,,FREE,BUSY
05/05/17,02:20 PM,02:20 PM,Yankees at Cubs,Wrigley Field - Chicago,"",05/05/17,05/05/17,05:20 PM,05:20 PM,FALSE,TRUE,05/05/17,01:20 PM,01:20 PM,FREE,BUSY
05/06/17,07:15 PM,07:15 PM,Yankees at Cubs,Wrigley Field - Chicago,"",05/06/17,05/06/17,10:15 PM,10:15 PM,FALSE,TRUE,05/06/17,06:15 PM,06:15 PM,FREE,BUSY
05/07/17,08:05 PM,08:05 PM,Yankees at Cubs,Wrigley Field - Chicago,"Local TV: ESPN",05/07/17,05/07/17,11:05 PM,11:05 PM,FALSE,TRUE,05/07/17,07:05 PM,07:05 PM,FREE,BUSY
05/08/17,07:10 PM,07:10 PM,Yankees at Reds,Great American Ball Park - Cincinnati,"",05/08/17,05/08/17,10:10 PM,10:10 PM,FALSE,TRUE,05/08/17,06:10 PM,06:10 PM,FREE,BUSY
05/09/17,07:10 PM,07:10 PM,Yankees at Reds,Great American Ball Park - Cincinnati,"",05/09/17,05/09/17,10:10 PM,10:10 PM,FALSE,TRUE,05/09/17,06:10 PM,06:10 PM,FREE,BUSY
05/11/17,,,Astros at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/11/17,05/11/17,,,FALSE,TRUE,05/11/17,,,FREE,BUSY
05/12/17,,,Astros at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/12/17,05/12/17,,,FALSE,TRUE,05/12/17,,,FREE,BUSY
05/13/17,,,Astros at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/13/17,05/13/17,,,FALSE,TRUE,05/13/17,,,FREE,BUSY
05/14/17,07:30 PM,07:30 PM,Astros at Yankees,Yankee Stadium - Bronx,"Local TV: ESPN",05/14/17,05/14/17,10:30 PM,10:30 PM,FALSE,TRUE,05/14/17,06:30 PM,06:30 PM,FREE,BUSY
05/16/17,,,Yankees at Royals - Time TBD,Kauffman Stadium - Kansas City,"",05/16/17,05/16/17,,,FALSE,TRUE,05/16/17,,,FREE,BUSY
05/17/17,,,Yankees at Royals - Time TBD,Kauffman Stadium - Kansas City,"",05/17/17,05/17/17,,,FALSE,TRUE,05/17/17,,,FREE,BUSY
05/18/17,,,Yankees at Royals - Time TBD,Kauffman Stadium - Kansas City,"",05/18/17,05/18/17,,,FALSE,TRUE,05/18/17,,,FREE,BUSY
05/19/17,,,Yankees at Rays - Time TBD,Tropicana Field - St. Petersburg,"",05/19/17,05/19/17,,,FALSE,TRUE,05/19/17,,,FREE,BUSY
05/20/17,,,Yankees at Rays - Time TBD,Tropicana Field - St. Petersburg,"",05/20/17,05/20/17,,,FALSE,TRUE,05/20/17,,,FREE,BUSY
05/21/17,,,Yankees at Rays - Time TBD,Tropicana Field - St. Petersburg,"",05/21/17,05/21/17,,,FALSE,TRUE,05/21/17,,,FREE,BUSY
05/22/17,,,Royals at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/22/17,05/22/17,,,FALSE,TRUE,05/22/17,,,FREE,BUSY
